chemical_ID	Name
C06324	Isocarbostyril
C00418	(R)-Mevalonate
C10977	Thiadiazolidinethione
C06432	UDP-N-acetylmuramoyalanyD-glutamylysyD-alanine
C15571	Catechol
C00141	3-Methy2-oxobutanoic acid
C20267	4-Amino-5-aminomethy2-methylpyrimidine
C16995	Methyl palmitate
C19096	Sulfallate
C13910	Undecylenic acid
C14593	Epimestrol
C19563	4-(Hydroxymethyl)nitrosoamino-1-(3-pyridinyl)-1-butanone
C20263	threo-78-Dihydrobiopterin
C17158	Plakortic acid
C10286	Doronine
C19581	alpha-3-(Nitrosoamino)propy3-pyridinemethanol
C14469	Di-n-propylphthalate
C15987	4-Methylaminobutyrate
C03894	Propane-12-diol 1-phosphate
C14623	6-(Ethylthio)purine
C05717	alpha-Amino-gamma-cyanobutanoate
C13742	Adenosine 5-O-(3-thiotriphophate)
C13968	Cefamandole sodium
C08722	45-Methylenedioxy-6-hydroxyaurone
C13672	AMPA
C02614	(S)-2-Methylmalate
C07195	Vidarabine
C03651	trans-4-Hydroxy-D-proline
C20555	Aflatrem
C18928	Dichlozoline
C17234	2-Aminobut-2-enoate
C19724	Cobyrinate c-monamide
C02753	D-Xylono-14-lactone
C14148	N-Cyclopropylammeline
C13299	Fungichromin
C14044	C25-Allenic-apo-aldehyde
C00590	Coniferyl alcohol
C20582	cis-(Homo)3-aconitate
C00147	Adenine
C01075	N-Sulfo-D-glucosamine
C03241	6-Hydroxyhexan-6-olide
C17239	p-Hydroxyphenylacetothiohydroximate
C02527	Butanoylphosphate
C15224	Tributyltin chloride
C20487	beta-Phenylalanine
C07321	Ofloxacin
C01143	(R)-5-Diphosphomevalonate
C16209	3-(2-Carboxyvinyl)naphthalene-2-carboxylic acid
C14652	19-Nor-17alpha-pregn-5(10)-en-20-yne-3alpha17beta-diol
