Name	Statistic
2-Methylbutyl glucosinolate	0.233585181
Coformycin	0.229276455
Bis(4-chlorophenyl)methane	0.227635587
Profluralin	0.226209512
Dichlorphenamide	0.224286634
Allodeoxycholate	0.22318081
1016-Dihydroxyhexadecanoic acid	0.215728254
6alpha-Fluoropregn-4-ene-320-dione	0.21332778
Echlomezole	0.211933776
(S)-ATPA	0.211910863
Pyrazinoic acid	0.210357962
Furazolidone	0.208494975
alpha-Arbutin	0.206427802
Iduronate 2-sulfate	0.20526589
5-Hydroxy-24-dioxopentanoate	0.204904405
Adifoline	0.204010984
Caracurine V	0.203991653
Octanoylcarnitine	0.202927203
22-Dimethy34-bis(4-methoxyphenyl)-2H-1-benzopyran-7-ol acetate	0.202071325
Disenecionyl cis-khellactone	0.200680488
Taurochenodeoxycholate	0.198445946
1D-myo-Inositol 1346-tetrakisphosphate	0.195916295
Septentrionine	0.194061594
Hexylamine	0.191423344
Thromboxane B2	0.18957548
5-Guanidino-3-methy2-oxopentanoate	0.186913675
3-beta-D-Glucopyranuronosyloxy-5-methylisoxazole	0.182197231
PMEG	0.18062218
22-Dichloro-11-ethanediol	0.180388749
Taurodeoxycholate	0.180340773
Phosphonoacetate	0.179138434
Ectocarpen	0.179014213
Loxtidine	0.178434204
ciscis-36-DodecadienoyCoA	0.177030164
Carbimazole	0.176781797
Dapsone	0.173329306
O-Propanoylcarnitine	0.17141126
Phytanate	0.168757187
Succinylcholine	0.166616391
2-Ethylhexyl phthalate	0.165898968
S-(E)-Prop-1-enycysteine S-oxide	0.164564162
Glycidyl oleate	0.164293574
Tryprostatin B	0.161319659
Murideoxycholic acid	0.157726866
1-(1-Oxopropyl)-1H-imidazole	0.156136414
Nitrapyrin	0.155730673
Isoimide	0.152307447
Trimethylselenonium	0.151172559
16beta-Methylpregn-4-ene-320-dione	0.149823869
Ethephon	0.146579715
N-Benzylformamide	0.143897217
Nafcillin	0.139646671
24-Dichlorobenzoate	0.13706166
Harmalol	0.136545741
Glucobrassicanapin	0.135897043
N-Methylindolo32-b-5alpha-cholest-2-ene	0.135392058
Vinylidene fluoride	0.133202852
Thiourocanic acid	0.132510762
Fenthiaprop	0.131860386
O-Decanoycarnitine	0.131436535
trans-Lachnophyllol	0.13097337
Levetiracetam	0.130730121
Cyclo(deltaAla-Val)	0.128780354
2-Oxo-4-phosphonobutanoate	0.128053264
Juglone	0.126569501
44-(Diphenylethenylidene)bisNN-dimethylbenzenamine	0.121285571
Thiazafluron	0.118514111
6-Oxabicyclo310hexane-2-undecanoic acid methyl ester	0.118247094
33-Dichlorobenzidine	0.115483894
N-Nitrosoguvacine	0.114804905
Loganin	0.113474519
D-Idose	0.112855044
4-Fumarylacetoacetate	0.109126434
Lysine 16-lactam	0.108993378
Fasoracetam	0.107318396
12-Dichloroethanol	0.105769081
17-(Benzylamino)methylestra-135(10)-triene-317beta-diol	0.103991858
Kahalalide F	0.102994229
gamma-Pentachlorocyclohexene	0.100821078
Cyromazine	0.096722699
38-Biflaviolin	0.095327125
Erythromycin estolate	0.094708705
Lauryltrimethylaminium bromide	0.093492033
Zearalenone	0.092726056
3-Oxalomalate	0.090256669
(3S6R)-6-Isopropeny3-methy2-oxo-oxepanone	0.087708883
Lidocaine	0.087495486
Miglitol	0.083562297
Butylbenzyl phthalate	0.081153483
Hexadecasphinganine	0.078451467
Ammonium chloride	0.078104869
Karbutilate	0.077088757
Isocarbostyril	0.077049128
(R)-Mevalonate	0.076403771
Thiadiazolidinethione	0.074380091
UDP-N-acetylmuramoyalanyD-glutamylysyD-alanine	0.07171324
Catechol	0.068960235
3-Methy2-oxobutanoic acid	0.064269452
4-Amino-5-aminomethy2-methylpyrimidine	0.062687205
Methyl palmitate	0.057547786
Sulfallate	0.056653656
Undecylenic acid	0.055330167
Epimestrol	0.054490567
4-(Hydroxymethyl)nitrosoamino-1-(3-pyridinyl)-1-butanone	0.052405489
threo-78-Dihydrobiopterin	0.050312885
Plakortic acid	0.049123862
Doronine	0.047014193
alpha-3-(Nitrosoamino)propy3-pyridinemethanol	0.045866894
Di-n-propylphthalate	0.045753329
4-Methylaminobutyrate	0.04506685
Propane-12-diol 1-phosphate	0.04494252
6-(Ethylthio)purine	0.044661267
alpha-Amino-gamma-cyanobutanoate	0.04330582
Adenosine 5-O-(3-thiotriphophate)	0.04045379
Cefamandole sodium	0.039785048
45-Methylenedioxy-6-hydroxyaurone	0.039453114
AMPA	0.039038649
(S)-2-Methylmalate	0.037451574
Vidarabine	0.035902364
trans-4-Hydroxy-D-proline	0.034418115
Aflatrem	0.031715213
Dichlozoline	0.030139123
2-Aminobut-2-enoate	0.028503862
Cobyrinate c-monamide	0.026647478
D-Xylono-14-lactone	0.026503179
N-Cyclopropylammeline	0.026367002
Fungichromin	0.02550737
C25-Allenic-apo-aldehyde	0.021479464
Coniferyl alcohol	0.020176224
cis-(Homo)3-aconitate	0.019304781
Adenine	0.019248373
N-Sulfo-D-glucosamine	0.017936904
6-Hydroxyhexan-6-olide	0.017509983
p-Hydroxyphenylacetothiohydroximate	0.017189651
Butanoylphosphate	0.016766023
Tributyltin chloride	0.015316627
beta-Phenylalanine	0.015278191
Ofloxacin	0.007500966
(R)-5-Diphosphomevalonate	0.003032178
3-(2-Carboxyvinyl)naphthalene-2-carboxylic acid	0.002599988
19-Nor-17alpha-pregn-5(10)-en-20-yne-3alpha17beta-diol	0.00040708
